Symbol,Exchange,Industry,Date Added
MMM,NYSE,Conglomerate,1976-08-09
AXP,NYSE,Financial services,1982-08-30
AMGN,NASDAQ,Biopharmaceutical,2020-08-31
AMZN,NASDAQ,Retailing,2024-02-26
AAPL,NASDAQ,Information technology,2015-03-19
BA,NYSE,Aerospace and defense,1987-03-12
CAT,NYSE,Construction and mining,1991-05-06
CVX,NYSE,Petroleum industry,2008-02-19
CSCO,NASDAQ,Information technology,2009-06-08
KO,NYSE,Drink industry,1987-03-12
DIS,NYSE,Broadcasting and entertainment,1991-05-06
DOW,NYSE,Chemical industry,1991-05-06
GS,NYSE,Financial services,2013-09-23
HD,NYSE,Home Improvement,1999-11-01
HON,NASDAQ,Conglomerate,2020-08-31
IBM,NYSE,Information technology,1979-06-29
INTC,NASDAQ,Semiconductor industry,1999-11-01
JNJ,NYSE,Pharmaceutical industry,1997-03-17
JPM,NYSE,Financial services,1991-05-06
MCD,NYSE,Food industry,1985-10-30
MRK,NYSE,Pharmaceutical industry,1979-06-29
MSFT,NASDAQ,Information technology,1999-11-01
NKE,NYSE,Clothing industry,2013-09-23
PG,NYSE,Fast-moving consumer goods,1932-05-26
CRM,NYSE,Information technology,2020-08-31
TRV,NYSE,Insurance,2009-06-08
UNH,NYSE,Managed health care,2012-09-24
VZ,NYSE,Telecommunications industry,2004-04-08
V,NYSE,Financial services,2013-09-23
WMT,NYSE,Retailing,1997-03-17
